"F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20","F21","F22","F23","F24","F25","F26","F27","F28","F29","F30","F31","F32","F33","F34","F35","F36","F37","F38","F39","F40","F41","F42","F43","F44","F45","F46","F47"
"NA","DAPHNE","20365","oodle","NA","NA","AL",850,30.603526,-87.903605,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,2,1,1,870,"NA",0,1987,0,0,0,100,7108.30122591944,-11.5482215843183,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","HELENA","NA","NA","NA","231 Amy Ln Shelby County","AL",1100,33.273,-86.8512,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2016.25,3,2,1,1480,"SFR",0,2006,0,0,0,100,12092.2825452423,-11.5482215843183,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","TUSCALOOSA","81035","oodle","NA","NA","AL",1475,33.209841,-87.569173,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,2,2,1,1320,"NA",1,1987,0,0,1,100,10785.0087565674,0.680287675233558,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","DAPHNE","63652","oodle","NA","NA","AL",1250,30.603526,-87.903605,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,3,2,1,1500,"NA",0,1987,0,0,0,100,12255.6917688266,-11.5482215843183,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","TUSCALOOSA","81035","oodle","NA","NA","AL",1200,33.209841,-87.569173,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,2,2,1,1287,"NA",0,1987,0,0,0,100,10515.3835376532,0.887634099461138,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","TUSCALOOSA","81035","oodle","NA","NA","AL",919,33.209841,-87.569173,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,2,1,1,1301,"NA",0,1987,0,0,0,100,10629.7699941623,0.888179584173486,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","DAPHNE","63652","oodle","NA","NA","AL",1072,30.603526,-87.903605,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,3,2,1,1300,"NA",0,1987,0,1,0,100,10621.5995329831,-11.5482215843183,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","TUSCALOOSA","81035","oodle","NA","NA","AL",575,33.209841,-87.569173,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,1,1,1,360,"NA",0,1987,0,0,0,100,2941.36602451839,0.767623428022489,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","CALERA","NA","home","NA","440 Summerchase Dr Shelby County","AL",1300,33.157307,-86.75743,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.75,3,2,1,1460,"SFR",1,2000,0,1,0,100,11928.8733216579,-11.5482215843183,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
"NA","DAPHNE","20365","oodle","NA","NA","AL",1350,30.603526,-87.903605,1.05878300092938,0.483763825803335,2.23010279452856,2.97922802679901,1.97851021020051,3.34966651675019,0.628207123950592,1.24269641357776,1.22796046984912,34.4701338868985,2.52229901232135,2015.5,4,2,1,1850,"NA",1,1987,0,0,0,100,15115.3531815528,-11.5482215843183,"NA",50559.56,17,61.5,54.3,6.06,3.51,4.37,3.7,112817,113878.373107621,101800
